"full_visitor_id","channel_grouping","time","country","city","total_transaction_revenue","transactions","time_on_site_minutes","page_views","session_quality_dim","date","visit_id","type","product_quantity","product_revenue","product_sku","v2_product_category","product_variant","currency_code","transaction_revenue","transaction_id","page_title","page_path_level1","ecommerce_action_type","ecommerce_action_step","ecommerce_action_option","session_id"
"4.39693E+18","Referral",0,"United States","Sunnyvale",200,1,83,6,0,"2017-03-20",1489992840,"PAGE",1,120000000,"GGOENEBB078899","Nest-USA","Single Option Only","USD",200000000,"ORD201703201805","Checkout Confirmation","/ordercompleted.html",6,1,"",1138
"7.29842E+18","Organic Search",651734,"United States","not available in demo dataset",169,1,652,21,0,"2017-04-05",1491424130,"PAGE",1,58656666,"GGOEGEVJ023999","Electronics","Single Option Only","USD",169970000,"ORD201704052261","Checkout Confirmation","/ordercompleted.html",6,1,"",3839
"1.48031E+18","Organic Search",257532,"United States","not available in demo dataset",1015,1,258,9,0,"2016-11-01",1478007873,"PAGE",50,176400000,"GGOEGBJR018199","Bags","Single Option Only","USD",1015480000,"ORD201611011533","Checkout Confirmation","/ordercompleted.html",6,1,"",8643
"3.44464E+18","Direct",273057,"United States","not available in demo dataset",1005,1,273,14,0,"2016-12-13",1481693637,"PAGE",1,60365000,"GGOEGEVB070899","Electronics","Single Option Only","USD",1005500000,"ORD201612132887","Checkout Confirmation","/ordercompleted.html",6,1,"",13834
"7.51778E+18","Direct",302953,"France","Paris",0,0,327,8,0,"2016-08-19",1471632118,"PAGE",0,0,"GGOEGAAX0660","Home/Apparel/","(not set)","USD",0,"","Apparel","/store.html",0,1,"",14102
"8.43024E+18","Referral",18321,"United States","Ann Arbor",0,0,21,3,0,"2016-08-01",1470064191,"PAGE",0,0,"GGOEGAAX0288","Home/Apparel/Women's/","(not set)","USD",0,"","Women's","/google+redesign/",0,1,"",427
"6.20315E+18","Referral",25201,"United States","Atlanta",0,0,25,2,0,"2017-03-11",1489251812,"PAGE",0,0,"GGOEYOLR080599","(not set)","(not set)","USD",0,"","Store search results","/asearch.html",0,1,"",1467
"5.08784E+18","Organic Search",200684,"India","Chennai",0,0,218,7,0,"2016-08-10",1470828792,"PAGE",0,0,"GGOEGOAQ015999","Home/Office/","(not set)","USD",0,"","Office","/google+redesign/",0,1,"",2343
"9.65968E+18","Organic Search",29390,"United States","San Diego",0,0,255,9,0,"2016-09-06",1473184527,"PAGE",0,0,"GGOEGEVB071299","Home/Electronics/","(not set)","USD",0,"","Electronics","/google+redesign/",0,1,"",3228
"5.53597E+17","Referral",7632,"United States","Mountain View",0,0,33,5,0,"2017-06-01",1496364006,"PAGE",0,0,"GGOENEBQ084699","Home/Nest/Nest-USA/","(not set)","USD",0,"","Nest-USA","/google+redesign/",0,1,"",5166
"7.18589E+18","Referral",94234,"United States","San Jose",0,0,94,3,0,"2017-04-01",1491078327,"PAGE",0,0,"GGOEGBRA037499","(not set)","(not set)","USD",0,"","Store search results","/asearch.html",0,1,"",5518
"8.98329E+18","Organic Search",52128,"United States","Mountain View",0,0,52,6,0,"2016-08-17",1471463428,"PAGE",0,0,"GGOEGAAX0098","Home/Lifestyle/","(not set)","USD",0,"","Lifestyle","/google+redesign/",0,1,"",7594
"9.82697E+18","Organic Search",84786,"United States","Sunnyvale",0,0,121,9,0,"2016-09-16",1474090043,"PAGE",0,0,"GGOEGAAX0360","Home/Apparel/","(not set)","USD",0,"","Apparel","/store.html",0,1,"",7754
"3.55647E+18","Referral",54344,"United States","Austin",0,0,191,13,0,"2016-09-12",1473702243,"PAGE",0,0,"GGOEGAAX0074","Home/Drinkware/","(not set)","USD",0,"","Drinkware","/google+redesign/",0,1,"",7886
"7.6956E+17","Organic Search",0,"United States","Chicago",0,0,481,2,0,"2016-08-13",1471123116,"PAGE",0,0,"GGOEYFKQ020699","Home/Brands/YouTube/","(not set)","USD",0,"","YouTube","/google+redesign/",0,1,"",8874
"5.44243E+18","Referral",0,"United States","Ann Arbor",0,0,6,2,0,"2016-08-08",1470686517,"PAGE",0,0,"GGOEGEGQ024299","Home/Electronics/","(not set)","USD",0,"","Electronics","/google+redesign/",0,1,"",9169
"2.00622E+18","Organic Search",0,"Ireland","Dublin",0,0,128,5,0,"2016-09-13",1473814320,"PAGE",0,0,"GGOEGCMB020932","Home/Bags/","(not set)","USD",0,"","Bags","/google+redesign/",0,1,"",9573
"9.20394E+17","Organic Search",167465,"Philippines","(not set)",0,0,167,7,0,"2016-10-03",1475527321,"PAGE",0,0,"GGOEAKDH019899","Home/Accessories/Fun/","(not set)","USD",0,"","Fun","/google+redesign/",0,1,"",9974
"6.57833E+18","Direct",0,"United States","not available in demo dataset",0,0,63,3,0,"2016-08-09",1470766088,"PAGE",0,0,"GGOEGOCC017699","Home/Office/","(not set)","USD",0,"","Office","/google+redesign/",0,1,"",13303
"6.29052E+18","Organic Search",73089,"United States","Mountain View",0,0,99,7,0,"2016-08-18",1471552911,"PAGE",0,0,"GGOEGAAX0582","Home/Apparel/","(not set)","USD",0,"","Apparel","/store.html",0,1,"",13645
"7.14406E+18","Direct",7918,"United States","Mountain View",0,0,22,3,0,"2016-09-09",1473443583,"PAGE",0,0,"GGOEGCBQ016499","Home/Lifestyle/","(not set)","USD",0,"","Lifestyle","/google+redesign/",0,1,"",13989
"4.52962E+18","Direct",218252,"United States","Cupertino",0,0,224,3,0,"2017-02-09",1486709006,"PAGE",0,0,"GGOENEBB078899","Home/Nest/Nest-USA/","(not set)","USD",0,"","Nest-USA","/google+redesign/",0,1,"",15092
"3.98497E+18","Referral",0,"Germany","Hamburg",0,0,0,1,0,"2016-09-12",1473692758,"PAGE",0,0,"GGOEADHH055999","Home/Drinkware/","(not set)","USD",0,"","Drinkware","/google+redesign/",0,1,"",570
"7.84454E+17","Direct",0,"United States","New York",0,0,0,1,0,"2017-06-23",1498234601,"PAGE",0,0,"9184620","(not set)","(not set)","USD",0,"","BLM Sweatshirt","/google+redesign/",0,1,"",5206
"3.28742E+18","Organic Search",517685,"Canada","Toronto",82,1,641,18,0,"2017-03-20",1490030833,"PAGE",0,0,"GGOEGAEJ030715","Apparel"," LG","USD",0,"","Payment Method","/payment.html",5,2,"Payment",15012
